,year,county_code,pov_count_tot,pov_rate_tot,pov_youth_count_0-17,pov_youth_rate_0-17,med_hh_income
430,2003,13073,6765.0,6.7,2508.0,9.1,59190.0
431,2003,13075,2902.0,18.1,1189.0,26.6,27668.0
432,2003,13077,9812.0,9.4,3748.0,12.8,54055.0
433,2003,13079,1848.0,14.4,701.0,21.1,38342.0
434,2003,13081,5051.0,23.3,2163.0,34.5,26311.0
435,2003,13083,1823.0,12.0,604.0,16.7,35422.0
436,2003,13085,1751.0,9.2,661.0,14.4,49972.0
437,2003,13087,5878.0,21.0,2546.0,31.8,27913.0
438,2003,13089,87705.0,13.2,32116.0,19.0,45123.0
439,2003,13091,3229.0,18.3,1208.0,26.2,27857.0
440,2003,13093,2196.0,21.3,901.0,30.6,28123.0
441,2003,13095,20293.0,21.8,8567.0,32.3,30186.0
442,2003,13097,10678.0,10.0,4439.0,15.1,49209.0
443,2003,13099,2797.0,23.5,1234.0,36.3,26234.0
444,2003,13101,803.0,19.6,299.0,27.6,26541.0
445,2003,13103,4417.0,9.9,1754.0,14.2,49519.0
446,2003,13105,3345.0,16.1,1227.0,24.0,29861.0
447,2003,13107,4738.0,22.0,1948.0,33.6,25496.0
